                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.233,                 1.2692,                 1.4164,                0.58644,                0.31331,                0.32374,                0.19496,                 1.3048,                 1.2659,                 1.5389,                  0.091,                  0.001,                  0.001
                      2,                 1.2842,                 1.2159,                 1.3956,                0.56909,                0.35622,                0.33055,                0.19862,                 1.3174,                 1.3334,                 1.5448,               0.080996,               0.001996,               0.001996
                      3,                 1.2902,                 1.2263,                 1.4241,                0.58766,                0.33793,                0.33346,                0.20412,                 1.3044,                  1.318,                 1.5334,               0.070883,              0.0028832,              0.0028832
                      4,                 1.2355,                 1.2001,                  1.403,                0.57965,                0.35403,                0.33456,                0.19694,                 1.3141,                 1.3223,                 1.5344,               0.060661,              0.0036614,              0.0036614
                      5,                 1.2057,                 1.1041,                 1.3512,                0.63063,                0.22316,                0.28861,                0.17951,                  1.375,                 1.4943,                 1.5802,               0.050331,              0.0043308,              0.0043308
                      6,                 1.2317,                 1.2084,                 1.4181,                0.60095,                0.25109,                0.28403,                0.16858,                 1.4459,                 1.5897,                  1.608,               0.039891,              0.0048912,              0.0048912
                      7,                 1.2131,                 1.1467,                 1.3789,                0.48696,                0.29457,                0.26807,                0.15946,                 1.4579,                 1.5909,                 1.6264,               0.029343,              0.0053428,              0.0053428
                      8,                 1.2514,                 1.1704,                 1.3699,                0.62128,                0.24655,                0.33126,                0.18835,                 1.4941,                 1.4602,                 1.6401,               0.018685,              0.0056854,              0.0056854
                      9,                 1.1985,                 1.1039,                 1.3166,                0.60247,                0.29105,                0.31131,                 0.1809,                 1.4717,                 1.4384,                 1.6376,              0.0079192,              0.0059192,              0.0059192
                     10,                 1.2058,                 1.1489,                 1.3672,                0.69647,                0.26805,                0.32801,                0.18732,                 1.4174,                 1.3816,                  1.585,               0.005545,               0.005545,               0.005545
                     11,                 1.2093,                   1.11,                 1.3336,                0.52198,                0.28425,                0.27485,                0.16656,                 1.4434,                 1.5515,                 1.6103,                0.00505,                0.00505,                0.00505
                     12,                 1.1761,                 1.0759,                 1.3244,                0.50112,                0.29835,                 0.2991,                0.18316,                 1.4107,                 1.4581,                 1.5921,               0.004555,               0.004555,               0.004555
                     13,                  1.197,                 1.0738,                 1.3337,                0.47796,                0.33531,                0.30589,                0.18331,                 1.4138,                 1.5201,                 1.5953,                0.00406,                0.00406,                0.00406
                     14,                 1.1677,                 1.0412,                 1.2965,                0.50865,                0.34758,                0.31731,                0.19072,                 1.3947,                 1.4641,                 1.5737,               0.003565,               0.003565,               0.003565
                     15,                 1.1337,                 1.0441,                 1.2866,                0.59136,                0.25688,                0.30784,                0.18073,                 1.4108,                 1.4327,                 1.5753,                0.00307,                0.00307,                0.00307
                     16,                 1.1405,                  1.052,                 1.2808,                0.49805,                 0.3615,                0.31908,                0.19371,                 1.3863,                 1.4219,                 1.5617,               0.002575,               0.002575,               0.002575
                     17,                 1.1614,                 1.0168,                 1.2741,                0.57607,                0.29272,                0.31345,                0.19649,                 1.3641,                 1.3985,                 1.5523,                0.00208,                0.00208,                0.00208
                     18,                 1.1504,                0.99183,                 1.2802,                 0.5457,                 0.3123,                 0.3204,                0.19978,                 1.3504,                 1.3457,                 1.5442,               0.001585,               0.001585,               0.001585
                     19,                 1.1657,                 1.0099,                 1.2951,                0.56407,                0.33873,                0.33697,                0.20486,                 1.3497,                 1.3425,                 1.5382,                0.00109,                0.00109,                0.00109
                     20,                 1.1337,                 1.0016,                 1.2996,                0.59665,                0.28783,                0.32919,                0.20052,                 1.3522,                  1.381,                 1.5447,               0.000595,               0.000595,               0.000595
