                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1169,                   4.31,                 4.0918,                0.00187,                 0.0803,                0.00209,                 0.0004,                 3.8981,                 48.074,                 5.9634,                0.07007,              0.0033255,              0.0033255
                      2,                 3.5356,                 3.6434,                 3.3983,                0.47338,                0.09109,                0.04122,                0.01408,                 2.9235,                 3.4857,                 2.9664,               0.040004,              0.0065929,              0.0065929
                      3,                  2.552,                 2.7161,                 2.5037,                0.56479,                   0.12,                0.13272,                0.05887,                 2.1834,                 2.4244,                 2.2799,              0.0098724,              0.0097943,              0.0097943
                      4,                 2.0927,                 2.2205,                 2.0912,                0.70438,                0.18157,                0.20308,                0.09212,                 1.9071,                 2.1309,                   1.98,               0.009703,               0.009703,               0.009703
                      5,                  1.879,                 1.9461,                 1.8922,                0.41108,                0.30126,                0.29446,                0.14679,                 1.6888,                 1.6668,                 1.7958,               0.009604,               0.009604,               0.009604
                      6,                  1.756,                 1.7607,                 1.7592,                0.45163,                0.34476,                0.36113,                0.19017,                 1.6242,                 1.5603,                 1.7449,               0.009505,               0.009505,               0.009505
                      7,                 1.6681,                 1.6482,                 1.6951,                0.37697,                0.39222,                0.37223,                0.19486,                 1.5961,                 1.5019,                 1.6892,               0.009406,               0.009406,               0.009406
                      8,                 1.6085,                 1.5439,                 1.6405,                0.51064,                0.40358,                0.40847,                0.22223,                 1.5256,                 1.4278,                 1.6401,               0.009307,               0.009307,               0.009307
                      9,                 1.5649,                 1.4894,                 1.6099,                0.48006,                0.37425,                0.41928,                  0.231,                 1.5159,                 1.4435,                 1.6257,               0.009208,               0.009208,               0.009208
                     10,                 1.5341,                 1.4204,                 1.5742,                0.45615,                0.44617,                 0.4537,                0.25738,                 1.4661,                 1.2958,                 1.5814,               0.009109,               0.009109,               0.009109
                     11,                 1.5063,                 1.3814,                 1.5576,                0.51983,                0.42999,                0.46883,                0.26941,                 1.4248,                 1.2373,                 1.5405,                0.00901,                0.00901,                0.00901
                     12,                 1.4633,                 1.3243,                 1.5273,                0.50407,                0.43793,                0.44805,                0.26669,                 1.3936,                  1.248,                 1.5251,               0.008911,               0.008911,               0.008911
                     13,                 1.4613,                 1.3156,                 1.5222,                0.48726,                0.50278,                0.48588,                0.28825,                 1.3756,                 1.2049,                 1.5101,               0.008812,               0.008812,               0.008812
                     14,                 1.4304,                 1.2674,                 1.4896,                0.52411,                0.49757,                 0.4939,                0.29326,                 1.3494,                  1.158,                 1.4873,               0.008713,               0.008713,               0.008713
                     15,                 1.4117,                 1.2468,                 1.4792,                0.57919,                0.51907,                0.51827,                0.30552,                 1.3665,                 1.1307,                 1.4888,               0.008614,               0.008614,               0.008614
                     16,                 1.4008,                 1.2231,                 1.4737,                0.56945,                0.50471,                0.52292,                  0.313,                 1.3443,                 1.1155,                 1.4683,               0.008515,               0.008515,               0.008515
                     17,                 1.3828,                 1.2059,                 1.4623,                0.61779,                0.50748,                0.53921,                0.32178,                 1.3517,                 1.1144,                 1.4713,               0.008416,               0.008416,               0.008416
                     18,                 1.3731,                 1.1919,                 1.4622,                0.61404,                0.52315,                0.53952,                  0.323,                 1.3401,                 1.0752,                 1.4554,               0.008317,               0.008317,               0.008317
                     19,                 1.3499,                 1.1556,                 1.4361,                0.59377,                0.48104,                0.53032,                0.32331,                 1.3136,                 1.0705,                 1.4434,               0.008218,               0.008218,               0.008218
                     20,                 1.3472,                 1.1569,                 1.4352,                0.57532,                0.54701,                0.53758,                0.33278,                 1.2843,                 1.0558,                 1.4269,               0.008119,               0.008119,               0.008119
                     21,                 1.3362,                 1.1262,                 1.4184,                0.59344,                 0.5298,                0.54544,                0.33761,                 1.2864,                 1.0373,                 1.4267,                0.00802,                0.00802,                0.00802
                     22,                 1.3189,                 1.1118,                 1.4185,                0.62295,                0.53991,                0.57309,                0.35597,                 1.2691,                 1.0167,                 1.4083,               0.007921,               0.007921,               0.007921
                     23,                 1.3195,                 1.1024,                 1.4089,                0.60886,                0.55723,                0.57165,                0.35696,                 1.2552,                 1.0003,                 1.3987,               0.007822,               0.007822,               0.007822
                     24,                 1.3079,                 1.0816,                 1.3946,                0.60331,                0.58168,                0.58156,                0.36662,                   1.24,                0.98719,                 1.3915,               0.007723,               0.007723,               0.007723
                     25,                 1.2912,                 1.0783,                  1.395,                0.63833,                0.54441,                0.58341,                0.36362,                 1.2508,                0.99034,                 1.3937,               0.007624,               0.007624,               0.007624
                     26,                 1.2926,                 1.0693,                 1.3905,                0.64203,                0.55866,                0.59452,                0.37382,                 1.2209,                0.96046,                 1.3756,               0.007525,               0.007525,               0.007525
                     27,                 1.2772,                 1.0505,                 1.3769,                0.63398,                0.58214,                0.60127,                0.38388,                 1.2145,                0.94828,                 1.3683,               0.007426,               0.007426,               0.007426
                     28,                 1.2698,                  1.042,                 1.3736,                0.62312,                0.57758,                0.59171,                0.37741,                 1.2201,                0.95228,                 1.3767,               0.007327,               0.007327,               0.007327
                     29,                 1.2793,                 1.0321,                  1.369,                0.66613,                0.56728,                0.59676,                0.38065,                 1.2226,                0.98847,                 1.3709,               0.007228,               0.007228,               0.007228
                     30,                 1.2622,                 1.0375,                   1.37,                 0.6856,                0.57761,                0.62235,                0.39822,                 1.2039,                0.94498,                 1.3612,               0.007129,               0.007129,               0.007129
                     31,                  1.251,                 1.0157,                 1.3559,                0.65179,                 0.5938,                0.62394,                0.40216,                 1.1889,                0.91869,                 1.3546,                0.00703,                0.00703,                0.00703
                     32,                   1.25,                 1.0152,                 1.3641,                0.67682,                0.58609,                 0.6331,                0.40436,                 1.2232,                0.93403,                  1.365,               0.006931,               0.006931,               0.006931
                     33,                 1.2393,                0.99766,                 1.3486,                0.66415,                0.58924,                0.62398,                0.40064,                 1.1927,                0.91115,                 1.3518,               0.006832,               0.006832,               0.006832
