                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8189,                  4.102,                 4.0927,                0.01279,                0.03892,                0.00435,                0.00144,                 3.7648,                 15.751,                 4.8946,               0.070081,              0.0033244,              0.0033244
                      2,                  3.488,                 3.3998,                 3.4903,                0.01271,                0.01643,                0.00436,                0.00097,                  3.727,                 4.3289,                 3.5529,               0.040015,              0.0065918,              0.0065918
                      3,                 2.7413,                 2.5829,                 2.5961,                0.39538,                0.08329,                0.03719,                0.01179,                  2.812,                 3.1728,                 2.4895,              0.0098828,              0.0097932,              0.0097932
                      4,                 2.2999,                 2.2205,                 2.1754,                0.48913,                0.12038,                0.09209,                0.03564,                 2.4047,                 2.3847,                  2.197,               0.009703,               0.009703,               0.009703
                      5,                 2.0733,                 2.0426,                 1.9818,                0.35856,                0.17377,                0.12728,                0.05534,                  2.126,                 2.2029,                 1.9881,               0.009604,               0.009604,               0.009604
                      6,                 1.9381,                  1.904,                 1.8588,                0.37893,                0.17379,                0.14695,                 0.0657,                 2.0138,                 2.0827,                 1.8929,               0.009505,               0.009505,               0.009505
                      7,                 1.8578,                 1.8126,                 1.7813,                0.38523,                0.22454,                0.15623,                0.07369,                 1.9468,                 1.9099,                 1.8138,               0.009406,               0.009406,               0.009406
                      8,                 1.7918,                 1.7307,                 1.7256,                0.39069,                 0.1564,                0.13081,                0.05988,                 2.0368,                 2.1866,                 1.9127,               0.009307,               0.009307,               0.009307
                      9,                 1.7358,                 1.6738,                 1.6868,                0.42439,                0.19368,                0.17561,                 0.0851,                 1.8324,                 1.8336,                 1.7632,               0.009208,               0.009208,               0.009208
                     10,                 1.6972,                 1.6381,                 1.6538,                0.44646,                0.22644,                0.18545,                0.08983,                 1.7797,                 1.7475,                 1.6976,               0.009109,               0.009109,               0.009109
                     11,                 1.6536,                 1.5774,                 1.6243,                0.46884,                  0.236,                0.19435,                0.09576,                 1.7798,                   1.72,                  1.684,                0.00901,                0.00901,                0.00901
                     12,                 1.6272,                 1.5487,                 1.5986,                 0.4654,                0.23368,                0.19429,                0.09628,                 1.7727,                 1.7328,                 1.6845,               0.008911,               0.008911,               0.008911
                     13,                 1.5993,                  1.528,                 1.5765,                0.49312,                0.24781,                0.21297,                0.10732,                 1.7048,                 1.6227,                 1.6399,               0.008812,               0.008812,               0.008812
                     14,                 1.5643,                  1.483,                 1.5519,                0.48442,                0.24006,                0.21067,                0.10795,                 1.6804,                  1.613,                  1.616,               0.008713,               0.008713,               0.008713
