                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7932,                 4.0636,                 4.1074,                0.00752,                0.04883,                0.00413,                0.00137,                 3.6765,                    inf,                 5.3783,               0.070081,              0.0033244,              0.0033244
                      2,                 3.2808,                 3.1562,                 3.2752,                0.57238,                0.08478,                0.03741,                0.01197,                 2.9696,                 2.9649,                 2.7643,               0.040015,              0.0065918,              0.0065918
                      3,                 2.6671,                 2.5511,                  2.553,                 0.4555,                0.13489,                 0.0805,                0.02837,                 2.5089,                 2.5897,                 2.3679,              0.0098828,              0.0097932,              0.0097932
                      4,                 2.3226,                 2.2686,                  2.232,                0.46153,                0.15626,                0.09711,                0.03952,                 2.2951,                  2.284,                 2.1505,               0.009703,               0.009703,               0.009703
                      5,                  2.112,                 2.0888,                 2.0548,                0.56439,                0.14784,                0.13426,                0.05724,                 2.1227,                  2.154,                   2.03,               0.009604,               0.009604,               0.009604
                      6,                  1.964,                 1.9367,                 1.9181,                0.50253,                0.16297,                0.14616,                0.06496,                 2.0471,                 2.0569,                 1.9478,               0.009505,               0.009505,               0.009505
                      7,                  1.874,                 1.8395,                 1.8293,                0.57962,                0.16384,                 0.1433,                0.06611,                 2.0451,                  2.091,                 1.9242,               0.009406,               0.009406,               0.009406
                      8,                 1.7959,                 1.7462,                 1.7608,                0.41837,                0.19744,                0.16275,                0.07553,                 1.9288,                 1.9092,                 1.8563,               0.009307,               0.009307,               0.009307
                      9,                 1.7474,                 1.6927,                 1.7191,                0.40848,                0.18741,                0.18768,                0.08732,                 1.8236,                 1.8214,                 1.7596,               0.009208,               0.009208,               0.009208
                     10,                 1.7065,                  1.657,                 1.6846,                0.42419,                 0.2258,                0.17681,                0.08586,                 1.8226,                  1.786,                 1.7489,               0.009109,               0.009109,               0.009109
                     11,                 1.6634,                 1.5974,                 1.6551,                0.46635,                0.24334,                0.19732,                0.09651,                 1.7733,                 1.7082,                  1.685,                0.00901,                0.00901,                0.00901
                     12,                 1.6379,                 1.5723,                 1.6279,                0.50364,                0.23976,                0.21518,                0.10584,                 1.7379,                 1.6692,                 1.6649,               0.008911,               0.008911,               0.008911
                     13,                 1.6126,                 1.5438,                  1.605,                 0.4709,                0.24242,                0.21051,                0.10641,                 1.6941,                 1.6543,                 1.6478,               0.008812,               0.008812,               0.008812
                     14,                 1.5867,                 1.5012,                 1.5803,                0.48755,                 0.2398,                  0.206,                 0.1042,                  1.685,                 1.6685,                 1.6387,               0.008713,               0.008713,               0.008713
                     15,                 1.5628,                 1.5002,                 1.5665,                0.51025,                0.25072,                0.22844,                0.11764,                 1.6426,                 1.6118,                 1.6087,               0.008614,               0.008614,               0.008614
                     16,                 1.5418,                 1.4791,                 1.5541,                0.50134,                0.26344,                0.22765,                0.11566,                  1.629,                 1.5908,                 1.5879,               0.008515,               0.008515,               0.008515
                     17,                 1.5241,                 1.4608,                 1.5438,                0.53227,                0.25944,                0.23676,                0.12076,                 1.6172,                 1.5558,                  1.582,               0.008416,               0.008416,               0.008416
                     18,                 1.5098,                 1.4414,                 1.5259,                0.51797,                 0.2613,                0.23298,                0.11905,                 1.6012,                 1.5631,                 1.5761,               0.008317,               0.008317,               0.008317
                     19,                 1.4993,                 1.4193,                 1.5094,                0.54519,                0.25822,                0.23548,                0.12146,                 1.5791,                 1.5582,                  1.553,               0.008218,               0.008218,               0.008218
                     20,                  1.474,                 1.4033,                 1.5032,                0.52576,                0.26002,                0.24912,                0.12848,                 1.5726,                 1.5314,                   1.54,               0.008119,               0.008119,               0.008119
                     21,                 1.4713,                 1.3896,                 1.4944,                  0.533,                0.26433,                0.24953,                0.12913,                 1.5509,                 1.4857,                  1.537,                0.00802,                0.00802,                0.00802
                     22,                  1.454,                 1.3941,                  1.484,                0.53298,                0.26391,                0.24327,                0.12848,                 1.5618,                 1.4938,                 1.5335,               0.007921,               0.007921,               0.007921
                     23,                   1.45,                 1.3717,                 1.4775,                0.53657,                0.27189,                0.24763,                0.12875,                 1.5558,                 1.5054,                 1.5315,               0.007822,               0.007822,               0.007822
                     24,                 1.4359,                 1.3529,                 1.4652,                0.55207,                 0.2762,                0.25999,                0.13817,                  1.526,                  1.466,                   1.51,               0.007723,               0.007723,               0.007723
                     25,                  1.426,                 1.3424,                 1.4612,                0.52876,                0.27613,                0.25321,                0.13417,                 1.5474,                 1.4918,                 1.5193,               0.007624,               0.007624,               0.007624
                     26,                 1.4165,                 1.3554,                 1.4669,                0.55828,                0.27376,                0.25901,                0.13729,                 1.5167,                 1.4542,                 1.4936,               0.007525,               0.007525,               0.007525
                     27,                 1.4067,                 1.3144,                 1.4474,                0.55131,                 0.2808,                0.26842,                0.14207,                 1.5078,                 1.4474,                  1.492,               0.007426,               0.007426,               0.007426
                     28,                 1.4078,                 1.3107,                 1.4465,                0.54921,                0.28315,                0.26554,                 0.1416,                 1.4997,                 1.4335,                 1.4854,               0.007327,               0.007327,               0.007327
                     29,                 1.3897,                 1.3009,                 1.4355,                0.54478,                0.28886,                0.27228,                0.14266,                 1.5038,                 1.4427,                 1.4789,               0.007228,               0.007228,               0.007228
                     30,                 1.3873,                 1.3104,                 1.4385,                0.40265,                0.27696,                0.27055,                0.14454,                 1.4913,                  1.434,                 1.4774,               0.007129,               0.007129,               0.007129
                     31,                 1.3702,                 1.2647,                 1.4129,                0.55537,                0.29073,                 0.2743,                0.14674,                 1.4834,                 1.4264,                 1.4692,                0.00703,                0.00703,                0.00703
                     32,                 1.3671,                 1.2744,                 1.4161,                 0.3536,                0.29822,                0.27664,                0.14675,                 1.4873,                 1.4404,                 1.4673,               0.006931,               0.006931,               0.006931
                     33,                 1.3676,                 1.2885,                 1.4301,                0.56333,                0.28733,                0.27507,                 0.1479,                 1.4625,                 1.4192,                 1.4683,               0.006832,               0.006832,               0.006832
                     34,                  1.359,                 1.2736,                 1.4151,                0.40809,                0.29126,                0.28042,                0.14878,                 1.4901,                 1.4023,                 1.4727,               0.006733,               0.006733,               0.006733
